time,neighb_crime_intensity,city_crime_intensity
2002-01,0.3344624386341646,0.21270980111989662
2002-02,0.3339802633692065,0.21282522183913066
2002-03,0.3339843239583784,0.2120391161351829
2002-04,0.33646000330020676,0.21219033317179395
2002-05,0.336736012375228,0.2128515605553306
2002-06,0.3370560784096226,0.2135930383268622
2002-07,0.33489746329106046,0.21441394269308484
2002-08,0.33721721768961094,0.2153677841131671
2002-09,0.33591976714123717,0.21607679567247878
2002-10,0.3410129657852271,0.2161706297853999
2002-11,0.339735186239751,0.21527512298124557
2002-12,0.34426382065231576,0.2158403967571997
2003-01,0.3479137866485295,0.21508428067372257
2003-02,0.3503395052608247,0.21468720631888874
2003-03,0.35146406414148085,0.21536558081557694
2003-04,0.3537726843736433,0.2156170465133758
2003-05,0.35830351077833444,0.2154342985607444
2003-06,0.3589241827826183,0.21480603014037822
2003-07,0.358141996643067,0.21357140833652083
2003-08,0.35693969564923883,0.21282385646394522
2003-09,0.3579185690886003,0.21228876627313692
2003-10,0.35788307370534417,0.2125889133917107
2003-11,0.3594211392094142,0.21295419666313983
2003-12,0.35698063493899457,0.21210525169022915
2004-01,0.35459998498985945,0.2116305421126101
2004-02,0.3569936200590421,0.2127540012026417
2004-03,0.3602637950857449,0.21334056593785825
2004-04,0.36165095566747346,0.2126198595867692
2004-05,0.36770008967610174,0.2123896479000351
2004-06,0.3671863095314835,0.2122726873546445
2004-07,0.36686929580097716,0.21187829212526696
2004-08,0.36626647711872473,0.21097391789198414
2004-09,0.36463819647296525,0.2104617609364208
2004-10,0.36191552593005677,0.208898040650078
2004-11,0.36292681640536995,0.20829225458779638
2004-12,0.3637099276082869,0.2079314894086682
2005-01,0.36021361896087994,0.20742004838116188
2005-02,0.35992565395271653,0.20639472264591693
2005-03,0.360541923265505,0.20494351076642303
2005-04,0.3634859107454113,0.20540006931604696
2005-05,0.3531948670558469,0.20516462193132332
2005-06,0.3572398040810238,0.20514069056881795
2005-07,0.3596402364423585,0.20505596038486273
2005-08,0.36479103917349975,0.20490684203641427
2005-09,0.36928830310505156,0.20438613214979476
