time,neighb_crime_intensity,city_crime_intensity
2002-01,0.10249850156887157,0.21270980111989662
2002-02,0.10331259950189835,0.21282522183913066
2002-03,0.10311396900500222,0.2120391161351829
2002-04,0.10508395005714478,0.21219033317179395
2002-05,0.1048444844680344,0.2128515605553306
2002-06,0.1038609920493431,0.2135930383268622
2002-07,0.10266630190432569,0.21441394269308484
2002-08,0.10171446378604689,0.2153677841131671
2002-09,0.1030134102428309,0.21607679567247878
2002-10,0.1044401977871146,0.2161706297853999
2002-11,0.1045869098468417,0.21527512298124557
2002-12,0.10685765986571234,0.2158403967571997
2003-01,0.1065374926883945,0.21508428067372257
2003-02,0.10591295181102447,0.21468720631888874
2003-03,0.10644156100535193,0.21536558081557694
2003-04,0.1053469579088889,0.2156170465133758
2003-05,0.10602530011660491,0.2154342985607444
2003-06,0.10657716004785012,0.21480603014037822
2003-07,0.10783707431123152,0.21357140833652083
2003-08,0.10752687688531026,0.21282385646394522
2003-09,0.10725159290579624,0.21228876627313692
2003-10,0.10633725292774557,0.2125889133917107
2003-11,0.10616808340686902,0.21295419666313983
2003-12,0.10595028532782833,0.21210525169022915
2004-01,0.1052624865790067,0.2116305421126101
2004-02,0.10721048581545778,0.2127540012026417
2004-03,0.10690407775922534,0.21334056593785825
2004-04,0.10609587754293817,0.2126198595867692
2004-05,0.1056379123309666,0.2123896479000351
2004-06,0.10570199888946202,0.2122726873546445
2004-07,0.10495149820291828,0.21187829212526696
2004-08,0.10333101714572844,0.21097391789198414
2004-09,0.10184637429271194,0.2104617609364208
2004-10,0.09892051668478957,0.208898040650078
2004-11,0.09793534614963423,0.20829225458779638
2004-12,0.0959513152829632,0.2079314894086682
2005-01,0.09513150342364136,0.20742004838116188
2005-02,0.09209342795792634,0.20639472264591693
2005-03,0.09166336822587628,0.20494351076642303
2005-04,0.09278679941139217,0.20540006931604696
2005-05,0.09209238574582751,0.20516462193132332
2005-06,0.0912965144982803,0.20514069056881795
2005-07,0.09108729677366788,0.20505596038486273
2005-08,0.09180035398809135,0.20490684203641427
2005-09,0.09227949475144823,0.20438613214979476
2005-10,0.09340468902457713,0.20418683406281912
2005-11,0.09418207152415835,0.20387707462147456
2005-12,0.09383584151709952,0.20341321945268143
2006-01,0.09588348944208157,0.20462454362781501
2006-02,0.09576518359313677,0.20455630913298684
2006-03,0.09543111467225883,0.204797725602765
2006-04,0.09463840603724803,0.20384877677641516
2006-05,0.09511581713535196,0.20402355752216614
2006-06,0.09442673440801146,0.2032104457823779
2006-07,0.0931891901720079,0.20317075835519452
2006-08,0.09222295227622017,0.20225896974761204
2006-09,0.09103702604810061,0.20155816079919409
2006-10,0.09030816559327148,0.20115964255547505
2006-11,0.08882388276575946,0.20121276134941005
2006-12,0.08924957518886983,0.20170597329562145
2007-01,0.08750592651610299,0.20054806075007986
2007-02,0.08608727455765891,0.19875382848393527
2007-03,0.08597483281238,0.1987441262768262
2007-04,0.08540891727247789,0.19840129663347286
2007-05,0.08564398528981024,0.1983578247230889
2007-06,0.08531332356342436,0.19862679073298772
2007-07,0.08598043683054421,0.1979183815816017
2007-08,0.08563020045828967,0.19797034143506106
2007-09,0.08613531227624327,0.19827026876231804
2007-10,0.08580998627091656,0.1986233083511259
2007-11,0.08647865785276342,0.1986390699305519
2007-12,0.08631372966431884,0.19797302407100548
2008-01,0.08598926756602775,0.19834439130483805
2008-02,0.08696643541361676,0.19950481071574608
2008-03,0.08652387976363494,0.1987541263355866
2008-04,0.08742981964942026,0.19965458457236232
2008-05,0.0879754759211196,0.19942275398632958
2008-06,0.08752686710616785,0.1992761361175964
2008-07,0.08802300488094482,0.19956814879535925
2008-08,0.08847498872686861,0.20024746289229484
2008-09,0.08879014320438976,0.20054847754318128
2008-10,0.08894586589952864,0.20070780807795877
2008-11,0.08866899428990377,0.20039630585856655
2008-12,0.08894130717390455,0.1997076142352086
2009-01,0.09016499528247449,0.1985763609872106
2009-02,0.09156067768284439,0.19860935260753643
2009-03,0.09258642188021715,0.1985177907801162
2009-04,0.09290405660196953,0.19722223171347303
2009-05,0.0919213135318993,0.19607743123791108
2009-06,0.09224710596869734,0.1948250684960206
2009-07,0.09373812680128397,0.19350429470022845
2009-08,0.09342119085980019,0.19201167415638437
2009-09,0.09310642453881308,0.1902549974834833
2009-10,0.09279296396153644,0.1877563386928512
2009-11,0.09180856810554235,0.18677297939171347
2009-12,0.09151044745486535,0.18650142406434422
2010-01,0.09051441489113937,0.18617496051887028
2010-02,0.08903081964769541,0.18437653431097742
2010-03,0.08792704886636524,0.18373752444450617
2010-04,0.08681922456210661,0.1832884077074584
2010-05,0.08678689750034285,0.18245101923476298
2010-06,0.08673158956017586,0.18175118299043821
2010-07,0.084485476476649,0.17999422502247622
2010-08,0.08356849184101565,0.17913008140373132
2010-09,0.08215094316098212,0.17786404945219927
2010-10,0.08254296024011305,0.17757305090127543
2010-11,0.08209836954583208,0.17653606182052334
2010-12,0.08142037428429016,0.17486121024041407
2011-01,0.0812403257787155,0.1740324796365965
2011-02,0.08069124520383052,0.17306245009980964
2011-03,0.08024643723156027,0.17143508164677043
2011-04,0.07942925721587628,0.17014452989923184
2011-05,0.07944214365305326,0.16990386038744446
2011-06,0.08014406688896036,0.1697668616092989
2011-07,0.08012028410071184,0.16985525490871878
2011-08,0.08078620725016014,0.16905389544586427
2011-09,0.08163445633557324,0.16876304125400987
2011-10,0.08107589472237285,0.1681459581073563
2011-11,0.08178820557638891,0.1676528580522728
2011-12,0.08278899469300091,0.16850331494398155
