time,neighb_crime_intensity,city_crime_intensity
2002-01,0.11561720878541827,0.17954900320444647
2002-02,0.11634238755402782,0.17933448714681907
2002-03,0.11715997922606342,0.17870832972460185
2002-04,0.11765208721216662,0.17864673142313828
2002-05,0.11825966161941504,0.1788043958537803
2002-06,0.12034880782909899,0.17917880007439277
2002-07,0.1209355482766534,0.17958110405984248
2002-08,0.12373397394664387,0.18050819398398005
2002-09,0.12531522519226004,0.18096202363609754
2002-10,0.12441262151282614,0.1807111731742937
2002-11,0.12396540948263084,0.1799274332496551
2002-12,0.1249174205957529,0.18042699670693235
2003-01,0.12552332925945223,0.17980568203723474
2003-02,0.1254723154919831,0.17955642326612098
2003-03,0.12602570555933768,0.1803219399919173
2003-04,0.1276575826196966,0.18061914585460437
2003-05,0.12793068600747323,0.1806992981683136
2003-06,0.1246169822824358,0.18032902784239796
2003-07,0.12363919355762396,0.1794300610141882
2003-08,0.12250535536537502,0.17840336604683849
2003-09,0.12353787577116652,0.17754560284245327
2003-10,0.12487913808851128,0.17707973789857173
2003-11,0.1240689392816746,0.17723576421206472
2003-12,0.12314196258183982,0.17632285945205012
2004-01,0.12363557834201473,0.17571254434343447
2004-02,0.12288274667137863,0.17652616505655905
2004-03,0.12027094746932745,0.176686342797063
2004-04,0.1189866312470685,0.1758265791611732
2004-05,0.11806894249487024,0.17560002000037125
2004-06,0.11799969377066495,0.17534841144336868
2004-07,0.1200413022014937,0.1748906958856881
2004-08,0.11734630351145094,0.1741737205941571
2004-09,0.11638230831422625,0.17366759781579882
2004-10,0.11470103092900912,0.17265013935595025
2004-11,0.11509185362766246,0.17200332605826749
2004-12,0.11553994740335613,0.17167362312691073
2005-01,0.11235930654102169,0.17112125706283174
2005-02,0.11089546168875206,0.17015465315068895
2005-03,0.10989626451275351,0.1689779983075878
2005-04,0.10960195317993449,0.1694558534828084
2005-05,0.10838426458448788,0.169174158608278
2005-06,0.109836352331835,0.16922472235260883
2005-07,0.10653503969421019,0.1691766205904827
2005-08,0.1077016733217271,0.16912706788218046
2005-09,0.10709515808830267,0.16886816077117034
2005-10,0.10675035856303197,0.16901666394113074
2005-11,0.10501412124966282,0.16896556701735116
2005-12,0.10253822716731066,0.16855326662794007
2006-01,0.10357140829646933,0.1697385037797538
2006-02,0.10486958367499534,0.16986799006802422
2006-03,0.10518754380941,0.170170852763555
2006-04,0.10530835440499542,0.1693570033145474
2006-05,0.10537058517711463,0.16953590986790046
2006-06,0.10279990125690058,0.1687588735679491
2006-07,0.10144874251958376,0.1687733958189285
2006-08,0.1000986737301562,0.16792386554455746
2006-09,0.09780417521948746,0.16758244744881978
2006-10,0.09798922707089573,0.16727285111784052
2006-11,0.09825195669233432,0.16718231425181532
2006-12,0.09806748714289346,0.16762121911519406
2007-01,0.09855619904586183,0.16653822962338263
2007-02,0.0972932551116181,0.16501938806124605
2007-03,0.09747381973804282,0.16498565228098194
2007-04,0.09619147509372374,0.16475110895407472
2007-05,0.09671834160699053,0.16460780764867697
2007-06,0.09663314790064853,0.1649446556423386
2007-07,0.09892942084949687,0.16423974786659995
2007-08,0.0969178056147539,0.16443256430502923
2007-09,0.0976455825066807,0.164557198499754
2007-10,0.0984343506843781,0.16487075553276134
2007-11,0.09889392199402766,0.1650574434222744
2007-12,0.10008014531200914,0.1647314461587372
2008-01,0.09984229488486286,0.1652766549422773
2008-02,0.10038126765536604,0.16628734071635473
2008-03,0.1006287650080072,0.16596757369510295
2008-04,0.10046960187850758,0.16682126012964554
2008-05,0.10029667548743164,0.16693886667582655
2008-06,0.10097673789386838,0.1669161478535397
2008-07,0.10045076293979234,0.16734919726122427
2008-08,0.10244933003979649,0.16815404335441875
2008-09,0.10330501991478054,0.16877211116284765
2008-10,0.10214325796687522,0.16925522369529683
2008-11,0.10152180461381659,0.1691463155481207
2008-12,0.10154443529934974,0.1686813970119595
2009-01,0.10179241338599301,0.16774473382498672
2009-02,0.10233068163381591,0.16800327396952264
2009-03,0.10137578152543432,0.1679659672310343
2009-04,0.10152188595965332,0.16716345317157658
2009-05,0.10140149326895849,0.1664432202332925
2009-06,0.10080854067886016,0.165495084090738
2009-07,0.10124900076830584,0.1646169219926151
2009-08,0.10077910360833099,0.16352217479755127
2009-09,0.09876503976939362,0.16206410861440007
2009-10,0.096408859241794,0.15990000828502757
2009-11,0.09483199643481934,0.15919864923699192
2009-12,0.09305414333485085,0.1590781416100102
2010-01,0.09190338729813284,0.15907167149613946
2010-02,0.09005344906879809,0.15757675472338206
2010-03,0.08936182399802417,0.1570036180000397
2010-04,0.08857178577199891,0.15663490362293198
2010-05,0.08724866444564609,0.15596069837225213
2010-06,0.08677310912749646,0.1554397810276389
2010-07,0.08425813179038531,0.15381217041727765
2010-08,0.08405219371241165,0.15305239296402365
2010-09,0.0842248503476755,0.15212958248308
2010-10,0.08663248636891653,0.15209152721663796
2010-11,0.0870425991076027,0.15126691053234473
2010-12,0.0869615912825008,0.14987526507354917
2011-01,0.08637017974964943,0.14921424794555185
2011-02,0.08641195996361689,0.14845024798534484
2011-03,0.0865739170626875,0.14729672792903856
2011-04,0.0867305492375156,0.14623843845067852
2011-05,0.08688634987277832,0.1462494602730261
2011-06,0.08659028316607109,0.14623820889743702
2011-07,0.08650149806824128,0.14643974484837832
2011-08,0.08380029718099188,0.14577366487806864
2011-09,0.08442278741595496,0.14553280835853782
2011-10,0.08252036795589492,0.14507653706568363
2011-11,0.0833178182585426,0.14473386625542564
2011-12,0.08191827649919842,0.14543548182954152
2012-01,0.08212627198387135,0.14461066286657856
