AreaName,AreaNumber,Time Range,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
Hegewisch,55,1980,4157,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hegewisch,55,1990,3860,547,420,335,272,270,312,306,348,195,241,294,246,52,22,#N/A,#N/A
Hegewisch,55,2000,3809,257,247,302,247,202,271,230,197,209,376,488,416,237,52,60,18
Hegewisch,55,2008-2012,3694,346,236,157,246,252,257,197,151,169,194,325,518,260,89,212,85
Hegewisch,55,2009-2013,3601,374,244,162,169,293,152,195,145,107,251,360,505,276,111,214,43
Hegewisch,55,2010-2014,3549,355,201,231,158,243,142,183,175,88,253,358,478,296,96,260,32
Hegewisch,55,2011-2015,3539,355,255,179,159,272,150,87,184,122,221,289,486,453,37,259,31
Garfield Ridge,56,1970,12212,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Garfield Ridge,56,1980,12624,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Garfield Ridge,56,1990,12367,1734,1065,892,978,922,974,1026,885,783,998,1262,570,182,58,38,#N/A
Garfield Ridge,56,2000,12915,1155,834,923,742,758,568,736,683,612,1263,1304,1680,994,408,173,82
Garfield Ridge,56,2008-2012,11952,502,577,692,443,581,693,334,534,521,1046,1274,1863,1106,745,810,231
Garfield Ridge,56,2009-2013,11874,496,555,614,449,683,640,347,460,375,1038,1438,1874,1093,752,779,281
Garfield Ridge,56,2010-2014,11942,491,545,597,552,749,635,424,484,297,1025,1267,1565,1227,865,849,370
Garfield Ridge,56,2011-2015,12038,458,567,571,552,681,691,494,547,452,939,1198,1545,1316,820,812,395
Archer Heights,57,1970,3759,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Archer Heights,57,1980,3689,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Archer Heights,57,1990,3596,399,302,374,261,317,400,218,285,211,326,249,191,36,17,10,#N/A
Archer Heights,57,2000,4022,270,266,261,323,304,319,298,223,200,411,427,358,220,61,48,33
Archer Heights,57,2008-2012,3740,198,125,154,279,390,211,368,275,146,299,516,358,133,146,115,27
Archer Heights,57,2009-2013,3807,171,133,174,348,263,268,352,260,138,367,418,363,218,168,140,26
Archer Heights,57,2010-2014,3924,210,140,201,321,281,316,390,234,167,372,397,348,247,173,111,16
Archer Heights,57,2011-2015,3845,230,148,158,355,266,304,283,263,125,434,421,318,271,155,93,21
Brighton Park,58,1970,12451,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brighton Park,58,1980,12214,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brighton Park,58,1990,11592,1786,1090,1363,1368,1053,1032,884,693,514,774,579,364,44,35,13,#N/A
Brighton Park,58,2000,12461,1134,1023,982,1093,795,963,872,760,811,1249,1186,890,440,137,70,56
Brighton Park,58,2008-2012,11572,837,754,806,1050,1093,804,852,766,569,996,1291,880,413,271,133,57
Brighton Park,58,2009-2013,11720,872,730,844,1010,1237,886,926,877,683,889,1033,850,472,203,92,116
Brighton Park,58,2010-2014,11984,919,814,875,970,1383,901,862,922,673,889,1049,888,444,217,89,89
Brighton Park,58,2011-2015,12030,894,744,915,987,1302,981,891,939,613,950,1015,937,440,192,94,136
McKinley Park,59,1970,5116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
McKinley Park,59,1980,4810,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
McKinley Park,59,1990,4626,701,397,503,526,446,449,394,275,212,304,237,145,30,7,#N/A,#N/A
McKinley Park,59,2000,5094,461,373,315,425,507,391,334,351,292,471,485,384,156,81,28,40
McKinley Park,59,2008-2012,5185,439,264,414,429,287,331,333,316,220,500,558,586,221,161,106,20
McKinley Park,59,2009-2013,5142,484,326,347,384,279,401,271,244,264,533,559,486,220,162,160,22
McKinley Park,59,2010-2014,5135,521,267,396,309,298,361,334,164,334,453,588,543,210,178,137,42
McKinley Park,59,2011-2015,5166,486,328,342,279,259,407,322,209,383,493,551,497,251,161,150,48
Bridgeport,60,1970,11543,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bridgeport,60,1980,11377,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bridgeport,60,1990,10791,2122,1026,1231,1003,1011,930,721,569,541,650,563,261,91,51,21,#N/A
Bridgeport,60,2000,12282,1611,922,874,853,827,968,717,519,605,1036,1101,1208,530,249,127,135
Bridgeport,60,2008-2012,12140,1019,876,906,878,679,677,632,456,574,950,1274,1433,692,341,422,331
Bridgeport,60,2009-2013,12056,1117,838,917,831,630,785,661,482,585,973,1083,1407,672,410,383,282
Bridgeport,60,2010-2014,12149,1161,878,794,790,746,877,641,514,549,897,1133,1435,636,421,386,291
Bridgeport,60,2011-2015,12536,1121,904,829,878,735,874,562,593,443,869,1223,1384,828,476,481,336
New City,61,1970,19286,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New City,61,1980,17100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New City,61,1990,14272,4132,1491,1618,1366,1080,1003,820,699,615,632,525,229,36,17,9,#N/A
New City,61,2000,13977,3093,1246,1322,1177,1007,813,779,679,592,908,1021,687,370,92,55,136
New City,61,2008-2012,11621,1381,897,898,1016,982,1019,714,506,587,835,990,992,402,147,192,63
New City,61,2009-2013,11394,1315,814,1085,1019,1009,958,738,526,517,832,904,850,411,156,199,61
New City,61,2010-2014,11533,1422,836,1183,1148,1040,843,775,604,357,842,827,879,371,130,232,44
New City,61,2011-2015,11736,1457,823,1306,1067,1124,981,682,682,319,779,807,922,379,148,199,61
West Elsdon,62,1970,4560,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Elsdon,62,1980,4833,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Elsdon,62,1990,4889,536,395,464,470,476,477,381,442,218,388,347,215,60,#N/A,20,#N/A
West Elsdon,62,2000,5095,344,348,250,399,228,301,341,322,214,599,712,653,234,102,39,9
West Elsdon,62,2008-2012,5027,285,163,285,295,296,477,300,324,284,484,472,780,413,93,47,29
West Elsdon,62,2009-2013,5076,255,204,265,357,223,472,366,324,344,390,488,706,473,158,23,28
West Elsdon,62,2010-2014,5081,283,224,222,378,187,430,481,343,335,380,516,602,463,167,45,25
West Elsdon,62,2011-2015,5082,298,280,181,422,196,292,505,383,261,481,511,565,372,243,62,30
Gage Park,63,1970,9418,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gage Park,63,1980,9340,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gage Park,63,1990,8893,1311,722,803,928,720,849,660,640,555,847,444,282,66,33,33,#N/A
Gage Park,63,2000,9709,1117,684,691,727,733,676,702,548,648,946,829,879,298,102,77,52
Gage Park,63,2008-2012,9405,689,519,665,804,886,766,573,487,518,842,1063,827,461,159,114,32
Gage Park,63,2009-2013,9393,713,503,766,595,962,852,658,469,647,724,974,888,383,137,87,35
Gage Park,63,2010-2014,9451,717,494,848,713,802,758,669,532,594,775,961,929,359,191,89,20
Gage Park,63,2011-2015,9742,693,577,796,799,788,748,656,544,680,824,1020,933,347,207,98,32
Clearing,64,1970,7254,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clearing,64,1980,8067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clearing,64,1990,8208,735,550,620,782,865,716,644,597,611,822,727,382,93,43,21,#N/A
Clearing,64,2000,8658,576,559,550,467,539,562,410,613,452,964,1132,984,525,214,77,34
Clearing,64,2008-2012,8389,361,335,614,476,435,297,260,377,353,1042,812,1338,842,419,295,133
Clearing,64,2009-2013,8362,363,280,622,481,454,354,264,291,362,918,848,1303,918,485,327,92
Clearing,64,2010-2014,8440,340,309,589,528,423,374,277,263,343,754,1054,1334,914,436,348,154
Clearing,64,2011-2015,8530,338,363,504,503,438,357,440,251,280,743,1154,1437,888,389,324,121
West Lawn,65,1970,5968,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Lawn,65,1980,8989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Lawn,65,1990,8826,904,775,709,712,627,703,758,782,500,975,793,403,130,48,7,#N/A
West Lawn,65,2000,8955,619,501,353,532,588,581,598,503,472,1006,980,1133,623,294,113,59
West Lawn,65,2008-2012,9111,481,477,367,697,492,739,350,766,345,941,954,1278,665,231,257,71
West Lawn,65,2009-2013,8931,458,431,433,487,588,615,479,785,359,812,853,1389,659,276,220,87
West Lawn,65,2010-2014,9050,487,335,378,521,570,600,629,587,537,748,833,1437,716,368,257,47
West Lawn,65,2011-2015,9074,437,356,311,526,479,615,650,621,509,859,977,1389,750,313,213,69
Chicago Lawn,66,1970,18133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chicago Lawn,66,1980,17600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chicago Lawn,66,1990,16730,2899,1697,1795,1765,1320,1350,1099,976,796,1324,906,568,163,43,29,#N/A
Chicago Lawn,66,2000,17112,2244,1054,1133,1241,1285,1344,1163,1022,994,1574,1720,1452,479,216,112,79
Chicago Lawn,66,2008-2012,15416,1979,1047,1485,1031,1147,1137,982,729,797,1156,1358,1518,708,150,145,47
Chicago Lawn,66,2009-2013,15586,2025,980,1570,1027,1214,1227,976,886,772,1222,1140,1428,654,229,191,45
Chicago Lawn,66,2010-2014,15836,2340,1112,1559,1127,1116,1190,1034,906,602,1261,1146,1464,492,286,159,42
Chicago Lawn,66,2011-2015,15705,2283,1194,1379,1218,1068,1138,1019,996,667,1224,1098,1272,602,262,196,89
West Englewood,67,1970,17455,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Englewood,67,1980,16086,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
West Englewood,67,1990,13668,3688,1337,1210,1266,997,1048,892,764,638,863,552,321,67,#N/A,25,#N/A
West Englewood,67,2000,12351,2590,1153,1097,1054,753,819,642,691,454,1051,773,875,222,89,28,60
West Englewood,67,2008-2012,10364,1530,1110,1284,1020,820,600,684,486,382,613,767,645,276,87,22,38
West Englewood,67,2009-2013,10183,1573,1093,1196,1013,754,607,592,635,377,600,690,550,293,111,43,56
West Englewood,67,2010-2014,10036,1645,1040,1175,836,781,564,621,543,320,562,772,651,268,143,81,34
West Englewood,67,2011-2015,9744,1637,951,1148,826,646,602,657,529,328,567,727,640,208,146,94,38
Englewood,68,1970,23464,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Englewood,68,1980,17787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Englewood,68,1990,14857,6137,1976,1511,1142,977,796,504,496,345,425,341,155,20,26,6,#N/A
Englewood,68,2000,12601,4094,1242,1167,1051,973,701,622,422,497,575,547,347,174,67,43,79
Englewood,68,2008-2012,9803,2800,1179,1124,774,519,518,398,244,430,514,469,514,143,65,19,93
Englewood,68,2009-2013,9518,2713,1169,1052,805,487,545,323,295,350,558,539,359,148,75,55,45
Englewood,68,2010-2014,9361,2734,1153,1002,751,436,645,302,332,327,600,427,287,201,94,26,44
Englewood,68,2011-2015,9103,2456,1249,872,743,554,579,346,348,440,499,351,362,178,53,37,36
Greater Grand Crossing,69,1970,17673,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greater Grand Crossing,69,1980,16968,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greater Grand Crossing,69,1990,14445,4297,1637,1698,1093,1114,1081,791,612,498,659,581,293,79,12,#N/A,#N/A
Greater Grand Crossing,69,2000,14376,3178,1231,1135,1114,856,1026,693,569,643,1238,1091,1031,243,156,101,71
Greater Grand Crossing,69,2008-2012,12605,2376,901,1174,1129,849,806,613,595,365,1145,825,879,465,156,163,164
Greater Grand Crossing,69,2009-2013,12095,2458,957,1174,1023,760,692,543,479,437,788,957,849,501,129,145,203
Greater Grand Crossing,69,2010-2014,12032,2455,1122,1186,1090,757,690,491,301,511,822,976,778,394,156,120,183
Greater Grand Crossing,69,2011-2015,11959,2506,1166,1138,938,764,718,492,374,422,760,998,836,423,146,160,118
Ashburn,70,1970,12657,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ashburn,70,1980,12817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ashburn,70,1990,12742,844,827,763,915,760,1207,1234,1000,984,1559,1204,1071,274,65,35,#N/A
Ashburn,70,2000,12798,696,493,524,672,733,575,726,729,590,1592,2134,1833,899,363,170,69
Ashburn,70,2008-2012,12780,523,469,521,607,706,420,612,458,372,836,1631,2099,1659,885,787,195
Ashburn,70,2009-2013,12827,611,394,578,609,699,513,558,359,423,903,1578,2135,1598,890,748,231
Ashburn,70,2010-2014,12722,555,347,501,581,611,637,476,531,477,1042,1503,2198,1485,829,748,201
Ashburn,70,2011-2015,12823,531,422,628,557,630,741,466,478,573,1042,1442,2083,1459,848,709,214
Auburn Gresham,71,1970,20057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Auburn Gresham,71,1980,19260,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Auburn Gresham,71,1990,18605,3415,1461,1875,1705,1497,1722,1173,1105,940,1450,1371,593,188,50,60,#N/A
Auburn Gresham,71,2000,18214,2817,1373,1295,1406,1104,1285,1044,1189,895,1605,1566,1418,732,187,138,160
Auburn Gresham,71,2008-2012,17173,2646,1530,1362,1623,1284,786,992,835,758,1501,1266,1395,494,322,263,116
Auburn Gresham,71,2009-2013,17315,2807,1423,1700,1644,1300,740,939,760,662,1418,1260,1412,585,285,245,135
Auburn Gresham,71,2010-2014,17158,2803,1438,1554,1608,1176,843,966,777,619,1413,1436,1248,496,378,287,116
Auburn Gresham,71,2011-2015,17150,2986,1551,1507,1411,1276,885,1008,706,600,1296,1543,1103,616,356,202,104
Beverly,72,1970,8065,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beverly,72,1980,7602,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beverly,72,1990,7743,444,362,301,402,375,542,486,599,483,1026,1048,859,459,114,243,#N/A
Beverly,72,2000,8038,316,207,205,303,294,335,338,458,306,648,1173,1247,910,502,445,351
Beverly,72,2008-2012,7705,278,128,217,207,181,194,167,249,288,457,844,1290,883,659,843,820
Beverly,72,2009-2013,7796,245,79,216,177,198,200,218,232,240,466,807,1259,918,725,970,846
Beverly,72,2010-2014,7526,211,95,207,191,147,215,302,289,190,448,635,1169,824,653,1032,918
Beverly,72,2011-2015,7492,273,90,189,137,222,228,303,238,235,515,616,1110,769,649,1099,819
Washington Heights,73,1970,9759,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Washington Heights,73,1980,10114,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Washington Heights,73,1990,9796,1062,642,876,711,825,926,879,758,524,944,992,417,152,58,30,#N/A
Washington Heights,73,2000,9823,963,491,582,518,659,756,517,637,436,1191,1121,1002,447,291,101,111
Washington Heights,73,2008-2012,9308,644,719,647,641,596,697,586,460,630,696,904,883,759,259,132,55
Washington Heights,73,2009-2013,9364,731,670,607,670,617,776,573,454,473,744,911,996,675,325,88,54
Washington Heights,73,2010-2014,9283,705,668,603,768,591,676,579,424,473,809,703,1110,651,332,152,39
Washington Heights,73,2011-2015,9501,697,550,647,703,595,708,502,428,478,800,795,1288,694,351,188,77
Mount Greenwood,74,1970,6310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mount Greenwood,74,1980,6684,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mount Greenwood,74,1990,6881,610,462,403,531,420,505,486,496,453,880,951,476,163,37,8,#N/A
Mount Greenwood,74,2000,6903,286,275,315,253,234,308,301,434,415,803,1050,1183,653,235,91,67
Mount Greenwood,74,2008-2012,6589,174,82,180,219,125,260,174,180,130,260,779,1335,1075,577,806,233
Mount Greenwood,74,2009-2013,6461,195,142,173,174,177,230,174,166,55,355,768,1193,1026,644,735,254
Mount Greenwood,74,2010-2014,6416,240,143,180,133,163,171,253,155,122,283,747,1049,1058,727,724,268
Mount Greenwood,74,2011-2015,6457,273,122,183,170,167,149,218,157,126,347,731,1007,1148,764,656,239
Morgan Park,75,1970,8857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Morgan Park,75,1980,8792,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Morgan Park,75,1990,8490,1018,591,570,561,728,607,600,626,622,827,942,501,122,118,57,#N/A
Morgan Park,75,2000,8524,647,390,562,418,453,397,434,330,320,871,1036,1268,689,332,249,128
Morgan Park,75,2008-2012,8009,644,361,332,310,579,223,284,408,234,557,782,1067,1065,468,447,248
Morgan Park,75,2009-2013,7982,567,359,374,269,505,267,330,336,246,551,791,1154,992,379,580,282
Morgan Park,75,2010-2014,7947,582,427,334,493,403,301,264,303,270,521,761,1313,862,328,504,281
Morgan Park,75,2011-2015,8130,521,462,293,515,395,364,354,356,205,561,752,1192,927,393,500,340
O'Hare,76,1970,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
O'Hare,76,1980,5467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
O'Hare,76,1990,5661,372,396,460,455,579,513,499,465,463,526,493,309,66,10,55,#N/A
O'Hare,76,2000,5914,412,388,320,291,345,419,446,457,427,687,675,493,327,114,41,72
O'Hare,76,2008-2012,6108,462,277,431,381,469,271,291,463,185,479,503,1170,345,195,145,41
O'Hare,76,2009-2013,6075,521,322,461,416,375,341,271,399,215,462,609,950,306,226,134,67
O'Hare,76,2010-2014,6116,520,371,459,555,355,357,230,312,177,486,710,913,273,184,151,63
O'Hare,76,2011-2015,6215,500,504,424,589,282,294,194,281,174,592,695,986,289,151,190,70
Edgewater,77,1970,28820,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Edgewater,77,1980,29249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Edgewater,77,1990,30128,5549,3017,3411,3060,2854,1997,1913,1675,1040,2028,1779,948,369,126,362,#N/A
Edgewater,77,2000,30918,4271,2400,1741,2148,2273,2265,2100,1977,1406,2538,2871,2306,1305,481,360,476
Edgewater,77,2008-2012,29110,3568,2173,1637,1470,1767,1601,1681,1243,1100,1677,2895,3127,1838,1283,1048,1002
Edgewater,77,2009-2013,28739,3319,2004,1546,1537,1757,1535,1613,1231,1149,2037,2755,3113,1610,1226,1196,1111
Edgewater,77,2010-2014,28669,3262,1963,1730,1233,1689,1479,1622,1513,864,2117,2638,3133,1721,1259,1283,1163
Edgewater,77,2011-2015,28675,2805,2030,1830,1413,1641,1473,1425,1536,786,2330,2729,3352,1645,1158,1305,1217
