AreaName,AreaNumber,Time Range,Total,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Black or African American alone,Hispanic or Latino,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Other
Greater Grand Crossing,69,2009-2013,32804,37,31348,577,392,450
Greater Grand Crossing,69,2010-2014,32849,20,31332,602,419,476
Greater Grand Crossing,69,2011-2015,32346,22,31077,358,466,423
Ashburn,70,1980,40477,#N/A,1082,905,38026,464
Ashburn,70,1990,37092,358,3697,2331,30656,50
Ashburn,70,2000*,39584,408,17045,6674,14546,911
Ashburn,70,2010,41081,276,18976,15132,6251,446
Ashburn,70,2008-2012,42788,121,22047,13148,7152,320
Ashburn,70,2009-2013,42821,156,20940,14699,6814,212
Ashburn,70,2010-2014,42809,195,20584,15384,6232,414
Ashburn,70,2011-2015,42752,284,20817,15455,5555,641
Auburn Gresham,71,1980,65132,#N/A,63708,463,738,223
Auburn Gresham,71,1990,59808,28,59172,204,350,54
Auburn Gresham,71,2000*,55928,45,54862,347,237,437
Auburn Gresham,71,2010,48743,33,47661,459,134,456
Auburn Gresham,71,2008-2012,49634,77,48680,484,135,258
Auburn Gresham,71,2009-2013,48934,118,47594,653,127,442
Auburn Gresham,71,2010-2014,47611,126,46204,672,175,434
Auburn Gresham,71,2011-2015,45842,126,44402,689,231,394
Beverly,72,1980,23360,#N/A,3151,308,19749,152
Beverly,72,1990,22385,114,5369,393,16451,58
Beverly,72,2000*,21992,121,7006,643,13814,408
Beverly,72,2010,20034,112,6838,915,11785,384
Beverly,72,2008-2012,21226,61,7366,1092,12358,349
Beverly,72,2009-2013,21762,47,7792,1304,12157,462
Beverly,72,2010-2014,21002,83,7601,1169,11761,388
Beverly,72,2011-2015,20815,101,7257,1414,11604,439
Washington Heights,73,1980,36453,#N/A,35644,177,518,114
Washington Heights,73,1990,32114,20,31621,140,293,40
Washington Heights,73,2000*,29843,9,29108,231,193,302
Washington Heights,73,2010,26493,12,25793,258,121,309
Washington Heights,73,2008-2012,26021,2,25390,189,257,183
Washington Heights,73,2009-2013,26241,1,25267,290,248,435
Washington Heights,73,2010-2014,26435,1,25394,359,198,483
Washington Heights,73,2011-2015,27116,0,25968,287,351,510
Mount Greenwood,74,1980,20084,#N/A,92,154,19767,71
Mount Greenwood,74,1990,19179,70,247,362,18473,27
Mount Greenwood,74,2000*,18820,61,672,723,17127,237
Mount Greenwood,74,2010,19093,126,987,1382,16413,185
Mount Greenwood,74,2008-2012,18475,169,937,937,16318,114
Mount Greenwood,74,2009-2013,18397,169,827,1120,16110,171
Mount Greenwood,74,2010-2014,18357,410,826,1040,15870,211
Mount Greenwood,74,2011-2015,18783,383,664,1205,16289,242
Morgan Park,75,1980,29315,#N/A,18226,280,10661,148
Morgan Park,75,1990,26740,82,17225,340,9043,50
Morgan Park,75,2000*,25226,83,16816,533,7510,284
Morgan Park,75,2010,22544,92,15039,619,6473,321
Morgan Park,75,2008-2012,22681,124,14511,519,7175,352
Morgan Park,75,2009-2013,23568,103,14828,464,7760,413
Morgan Park,75,2010-2014,23204,52,15131,623,6925,473
Morgan Park,75,2011-2015,22908,54,15125,638,6546,545
O'Hare,76,1980,11068,#N/A,163,288,10374,243
O'Hare,76,1990,11192,307,312,519,10037,17
O'Hare,76,2000*,11956,885,258,773,9735,305
O'Hare,76,2010,12756,1058,403,1212,9845,238
O'Hare,76,2008-2012,13687,1158,200,1878,10087,364
O'Hare,76,2009-2013,13700,1300,175,1740,10080,405
O'Hare,76,2010-2014,14143,1359,150,1675,10375,584
O'Hare,76,2011-2015,13483,1487,104,1150,10130,612
Edgewater,77,1980,58561,#N/A,6368,7805,37256,7132
Edgewater,77,1990,60703,7041,11643,10567,31070,382
Edgewater,77,2000*,62198,7172,10564,12176,29782,2504
Edgewater,77,2010,56521,6582,8104,9318,30889,1628
Edgewater,77,2008-2012,55333,6733,8114,9019,29573,1894
Edgewater,77,2009-2013,55548,6953,7390,9455,29695,2055
Edgewater,77,2010-2014,55276,6482,7685,9007,30151,1951
Edgewater,77,2011-2015,54873,6340,7853,8918,29912,1850
