time,crime_type,top_bot_crime_ratio
2002-01,Property,3.554419120296138
2002-02,Property,3.54514569092445
2002-03,Property,3.5433232306655484
2002-04,Property,3.527750056248
2002-05,Property,3.5114792620420756
2002-06,Property,3.528334566115561
2002-07,Property,3.559614241483011
2002-08,Property,3.5815149568794724
2002-09,Property,3.601432053329321
2002-10,Property,3.607582101923701
2002-11,Property,3.6054177185693406
2002-12,Property,3.580919093330075
2003-01,Property,3.5633725913534664
2003-02,Property,3.55092383908501
2003-03,Property,3.570765400829901
2003-04,Property,3.581937633136665
2003-05,Property,3.5969636496154784
2003-06,Property,3.592647689202051
2003-07,Property,3.6139100000442985
2003-08,Property,3.626219894947025
2003-09,Property,3.6497001238457885
2003-10,Property,3.6640616099457657
2003-11,Property,3.667165200974681
2003-12,Property,3.710955370920332
2004-01,Property,3.730808511706352
2004-02,Property,3.7501256109704695
2004-03,Property,3.788888817396139
2004-04,Property,3.819432017459205
2004-05,Property,3.8390798424271524
2004-06,Property,3.8129106627770293
2004-07,Property,3.794850833163393
2004-08,Property,3.794042945920666
2004-09,Property,3.7709607434388994
2004-10,Property,3.767349270487408
2004-11,Property,3.735885658055142
2004-12,Property,3.726886551281609
2005-01,Property,3.7233250464593715
2005-02,Property,3.744353725394246
2005-03,Property,3.728186270133454
2005-04,Property,3.709668861709348
2005-05,Property,3.6982911704107684
2005-06,Property,3.7610898886086392
2005-07,Property,3.821695514988193
2005-08,Property,3.843612958153817
2005-09,Property,3.802928340059227
2005-10,Property,3.767401177117612
2005-11,Property,3.7930433421331697
2005-12,Property,3.7978281065373674
2006-01,Property,3.7858995471866077
2006-02,Property,3.8048060208600467
2006-03,Property,3.8518954769525897
2006-04,Property,3.8617543030478325
2006-05,Property,3.8726204122295207
2006-06,Property,3.8517124174907753
2006-07,Property,3.8261504769758927
2006-08,Property,3.877089015367909
2006-09,Property,3.955433355615151
2006-10,Property,4.00276968758681
2006-11,Property,4.037018262675247
2006-12,Property,4.073883080005789
2007-01,Property,4.138054666305995
2007-02,Property,4.191537137427847
2007-03,Property,4.229624881335272
2007-04,Property,4.283617509271316
2007-05,Property,4.3403681727252845
2007-06,Property,4.451243593371749
2007-07,Property,4.523325294001112
2007-08,Property,4.581912376313071
2007-09,Property,4.653438489587371
2007-10,Property,4.677814457443631
2007-11,Property,4.706250313031982
2007-12,Property,4.730279375316971
2008-01,Property,4.745982755067919
2008-02,Property,4.771439709976482
2008-03,Property,4.763196552152429
2008-04,Property,4.761836506121086
2008-05,Property,4.7697790402717954
2008-06,Property,4.71308850269268
2008-07,Property,4.671030513926641
2008-08,Property,4.646823561202768
2008-09,Property,4.631999361324096
2008-10,Property,4.592872329487589
2008-11,Property,4.543631214430045
2008-12,Property,4.452570684254114
2009-01,Property,4.4359063584419465
2009-02,Property,4.390742329452007
2009-03,Property,4.352890739170113
2009-04,Property,4.323827717873691
2009-05,Property,4.311556978292559
2009-06,Property,4.342314316304725
2009-07,Property,4.393518079301688
2009-08,Property,4.380037585602957
2009-09,Property,4.375444404788542
2009-10,Property,4.398175752010157
2009-11,Property,4.424581293283358
2009-12,Property,4.488901290130671
2010-01,Property,4.505306701883403
2010-02,Property,4.4976522306517515
2010-03,Property,4.467978565151205
2010-04,Property,4.491631282837593
2010-05,Property,4.479313188547727
2010-06,Property,4.412566429949397
2010-07,Property,4.351069349357767
2010-08,Property,4.319749195089719
2010-09,Property,4.293202114573569
2010-10,Property,4.287505329997105
2010-11,Property,4.304543549346092
2010-12,Property,4.286394108158832
2011-01,Property,4.284394879275532
2011-02,Property,4.2703942577239005
2011-03,Property,4.276278781899581
2011-04,Property,4.295749539267132
2011-05,Property,4.305068322349543
2011-06,Property,4.408074051116477
2011-07,Property,4.3970453397119815
2011-08,Property,4.4178885137725095
2011-09,Property,4.4680057799846145
2011-10,Property,4.450641452672044
2011-11,Property,4.454037286211131
2011-12,Property,4.471941239682824
2012-01,Property,4.458694937098036
2012-02,Property,4.496883815707134
2012-03,Property,4.513404704342321
2012-04,Property,4.501995464224692
2012-05,Property,4.4838498968277385
2012-06,Property,4.4226916678688415
2012-07,Property,4.444332102829817
2012-08,Property,4.425666815425818
2012-09,Property,4.394430859533116
2012-10,Property,4.391853540736686
2012-11,Property,4.358708213567083
2012-12,Property,4.359128574170704
2013-01,Property,4.375109038164144
2013-02,Property,4.354774264837513
2013-03,Property,4.335687771245008
2013-04,Property,4.342831772827064
2013-05,Property,4.37065759582527
2013-06,Property,4.340338841021627
2013-07,Property,4.3614986066073875
2013-08,Property,4.393375430454794
2013-09,Property,4.388144127596439
2013-10,Property,4.4002730685304785
2013-11,Property,4.415184730474899
2013-12,Property,4.400704622070602
2014-01,Property,4.388249371242895
2014-02,Property,4.411109531657244
2014-03,Property,4.426955158597589
2014-04,Property,4.450708320229381
2014-05,Property,4.451793017844685
2014-06,Property,4.449438618977503
2014-07,Property,4.458146351807605
2014-08,Property,4.449425401111632
2014-09,Property,4.467522764870366
2014-10,Property,4.483522810409281
2014-11,Property,4.458102513065433
2014-12,Property,4.491936024013818
2015-01,Property,4.485487605443576
2015-02,Property,4.463790765068009
2015-03,Property,4.484829964343032
2015-04,Property,4.523284300695786
2015-05,Property,4.478355611773315
2015-06,Property,4.5230167861622235
2015-07,Property,4.530985802904682
2015-08,Property,4.540556792291493
2015-09,Property,4.513641465905132
2015-10,Property,4.499482734066416
2015-11,Property,4.4785022572262445
2015-12,Property,4.36722560207367
2016-01,Property,4.33810294877377
2016-02,Property,4.345496025149307
2016-03,Property,4.298961526299224
2016-04,Property,4.260555506666182
2016-05,Property,4.3304522074648135
2016-06,Property,4.329598370953888
2016-07,Property,4.305074701987231
