,time,crime_type,crime_description,crime_intensity
120,2011-01,Property,Arson,0.00019303789014829987
121,2011-02,Property,Arson,0.00019075697647540313
122,2011-03,Property,Arson,0.0001921767597074696
123,2011-04,Property,Arson,0.00020949749077600854
124,2011-05,Property,Arson,0.0002126665464339212
125,2011-06,Property,Arson,0.00020142006690842003
126,2011-07,Property,Arson,0.00020101073790863302
127,2011-08,Property,Arson,0.00019875441078706922
128,2011-09,Property,Arson,0.00019899214862857475
129,2011-10,Property,Arson,0.00018990532122649734
130,2011-11,Property,Arson,0.00018931398402679788
131,2011-12,Property,Arson,0.00018743089005032672
132,2012-01,Property,Arson,0.00018720934227210023
133,2012-02,Property,Arson,0.0001860653961289541
134,2012-03,Property,Arson,0.00017772793238406758
135,2012-04,Property,Arson,0.00016257005896599548
136,2012-05,Property,Arson,0.00015774389294042138
137,2012-06,Property,Arson,0.0001627824404387715
138,2012-07,Property,Arson,0.00016967074720256774
139,2012-08,Property,Arson,0.00017720207597653428
140,2012-09,Property,Arson,0.00017791318794634927
141,2012-10,Property,Arson,0.0001659112887109451
142,2012-11,Property,Arson,0.00015455766419341657
143,2012-12,Property,Arson,0.00015637691810380553
144,2013-01,Property,Arson,0.0001521182745981634
145,2013-02,Property,Arson,0.00015283253936113054
146,2013-03,Property,Arson,0.0001553876812181216
147,2013-04,Property,Arson,0.00014947431796819976
148,2013-05,Property,Arson,0.00015377772324304427
149,2013-06,Property,Arson,0.00015219097962039483
150,2013-07,Property,Arson,0.00014495880891902564
151,2013-08,Property,Arson,0.00013486906699236546
152,2013-09,Property,Arson,0.00013085174216755405
153,2013-10,Property,Arson,0.0001334641263349867
154,2013-11,Property,Arson,0.00013543292447177585
155,2013-12,Property,Arson,0.00013159697817213456
156,2014-01,Property,Arson,0.0001314462046037605
157,2014-02,Property,Arson,0.00013147975764942957
158,2014-03,Property,Arson,0.00013271225718510294
159,2014-04,Property,Arson,0.00013053217738096
160,2014-05,Property,Arson,0.00012807416638412067
161,2014-06,Property,Arson,0.0001294913325719526
162,2014-07,Property,Arson,0.00013534056500623832
163,2014-08,Property,Arson,0.00012946519884035376
164,2014-09,Property,Arson,0.0001307914410856835
165,2014-10,Property,Arson,0.00012934664790770713
166,2014-11,Property,Arson,0.00013252182047091544
167,2014-12,Property,Arson,0.0001347742406677851
168,2015-01,Property,Arson,0.00013388412597035366
169,2015-02,Property,Arson,0.00012873924144101383
170,2015-03,Property,Arson,0.00012775461640751335
171,2015-04,Property,Arson,0.00013222890275827273
172,2015-05,Property,Arson,0.0001455908756634022
173,2015-06,Property,Arson,0.00014507271225794983
