time,top_bot_crime_ratio
2002-01,7.118190230079766
2002-02,7.065348883321414
2002-03,7.0937713651778616
2002-04,7.164260796041322
2002-05,7.29397428496433
2002-06,7.293076711808512
2002-07,7.437753262429627
2002-08,7.488871611034982
2002-09,7.457657704786826
2002-10,7.408049967105834
2002-11,7.4919416684040545
2002-12,7.527984315173305
2003-01,7.601850771567617
2003-02,7.708015955909517
2003-03,7.76126293977963
2003-04,7.687662518434578
2003-05,7.730303513512364
2003-06,7.767044171787719
2003-07,7.704888082210939
2003-08,7.623013889067825
2003-09,7.751159563455868
2003-10,7.765684249556371
2003-11,7.765724923024048
2003-12,7.744010437459363
2004-01,7.7225445051353905
2004-02,7.65946137390651
2004-03,7.78260696392807
2004-04,7.867513700384684
2004-05,7.753100826599329
2004-06,7.8121542145448455
2004-07,7.77698221933331
2004-08,7.900270045946314
2004-09,8.023096554030362
2004-10,8.056974769728273
2004-11,8.014028058880553
2004-12,7.98608189942287
2005-01,7.915682724902865
2005-02,8.13490474934501
2005-03,8.173618005273546
2005-04,8.234998541637447
2005-05,8.257591009448122
2005-06,8.376459674405073
2005-07,8.386370409965577
2005-08,8.329896727690311
2005-09,8.274898981702947
2005-10,8.303112283832409
2005-11,8.408274385078709
2005-12,8.364663205229649
2006-01,8.372363697759804
2006-02,8.256462605320031
2006-03,8.098677205284448
2006-04,8.096259621717545
2006-05,8.155886854105516
2006-06,8.155159857172485
2006-07,8.157589533214324
2006-08,8.210911678562258
2006-09,8.228193638422669
2006-10,8.141793201359347
2006-11,8.133770490157707
2006-12,8.167193187033847
2007-01,8.318947915606605
2007-02,8.397625053250755
2007-03,8.376129655546146
2007-04,8.29241263804816
2007-05,8.273559915065599
2007-06,8.294455575447667
2007-07,8.324613283292841
2007-08,8.386271479420378
2007-09,8.453613756395665
2007-10,8.721293306117156
2007-11,8.84091536006446
2007-12,8.774738042934642
2008-01,8.72308705945594
2008-02,8.771978671200916
2008-03,8.88697100386639
2008-04,9.06363106484491
2008-05,9.117766187518775
2008-06,9.066695621917884
2008-07,9.04240649030385
2008-08,8.887048040251598
2008-09,8.890134266858833
2008-10,8.68426221993004
2008-11,8.611023491035896
2008-12,8.585070713799725
2009-01,8.430132238763852
2009-02,8.356123600856959
2009-03,8.244840849552666
2009-04,8.233130939567966
2009-05,8.232692430302965
2009-06,8.113509753520963
2009-07,8.064111256869337
2009-08,8.171796953416969
2009-09,8.105492570638186
2009-10,8.155984180688343
2009-11,8.102781866567298
2009-12,8.09806703927172
2010-01,8.063387345599569
2010-02,8.096229566482119
2010-03,8.2166759781751
2010-04,8.062943542908448
2010-05,8.09537377166184
2010-06,8.280982181993886
2010-07,8.368306256263708
2010-08,8.381440294371552
2010-09,8.222271645919573
2010-10,8.170514093619804
2010-11,8.056283063707426
2010-12,8.079596370264255
2011-01,8.177195586358707
2011-02,8.21255724740216
2011-03,8.166366585750504
2011-04,8.069487598498092
2011-05,8.06806013221623
2011-06,7.911962485464257
2011-07,7.942781114419058
2011-08,7.853718876914618
2011-09,7.837568659209682
2011-10,7.890706141444094
2011-11,8.068473180355701
2011-12,8.062119043150343
2012-01,7.9886514508422035
2012-02,7.9908379650846655
2012-03,7.862364065761719
2012-04,8.015395017576527
2012-05,8.016022056040777
2012-06,8.023509928717958
2012-07,7.898064627109735
2012-08,7.948266419730591
2012-09,8.216062279338042
2012-10,8.141120606394097
2012-11,7.895753949319534
2012-12,7.718646946059434
2013-01,7.847814787833311
2013-02,7.7618837884165455
2013-03,7.89687188215963
2013-04,7.835682027904947
2013-05,7.938472332417268
2013-06,7.866162043587451
2013-07,8.05670472078568
2013-08,8.117620764647237
2013-09,8.18632878753804
2013-10,8.146367801551834
2013-11,8.125222123801601
2013-12,8.229678920551565
2014-01,8.177791647313137
2014-02,8.20518295507043
2014-03,8.240983208706925
2014-04,8.288518552202081
2014-05,8.298205700570225
2014-06,8.363183776463943
2014-07,8.315228573813258
2014-08,8.085006010820594
2014-09,7.8242445469596875
2014-10,7.841312178169394
2014-11,7.809145508131479
2014-12,7.719393427556101
2015-01,7.8655919896268855
2015-02,7.742205207526925
2015-03,7.648411960509823
2015-04,7.695415474161816
2015-05,7.626451605640162
2015-06,7.560775423524658
2015-07,7.55081430064922
2015-08,7.55656737333852
2015-09,7.664145848303017
2015-10,7.600590496250169
2015-11,7.642527178063526
2015-12,7.678805200073205
2016-01,7.692408187972026
2016-02,7.642077340619661
2016-03,7.663464556461131
2016-04,7.556683860129289
2016-05,7.59455450248963
2016-06,7.7810586610458685
2016-07,7.9023381497935
2016-08,8.019220602859336
2016-09,7.951541882131679
2016-10,8.011850800054708
2016-11,8.123234165104991
2016-12,8.218710881802405
2017-01,8.149317682968274
2017-02,8.253141757109601
2017-03,8.328683454176575
2017-04,8.303128397757508
2017-05,8.400019702014431
2017-06,8.409562603095235
2017-07,8.458464822056284
2017-08,8.334461812991114
