time,crime_type,total_crime_pct
2002-01,Property,0.34081456143651434
2002-02,Property,0.34067532101776576
2002-03,Property,0.3405207525121138
2002-04,Property,0.3399047629339551
2002-05,Property,0.33946071644935316
2002-06,Property,0.3393986105226122
2002-07,Property,0.34116582050370814
2002-08,Property,0.33942384906753575
2002-09,Property,0.33896215873570845
2002-10,Property,0.33958939820879686
2002-11,Property,0.3397570502749506
2002-12,Property,0.33969633245127795
2003-01,Property,0.33964780848103526
2003-02,Property,0.3391853704936292
2003-03,Property,0.33957682965548064
2003-04,Property,0.3395311409238384
2003-05,Property,0.33966597522436937
2003-06,Property,0.33976151490600526
2003-07,Property,0.34040614780440204
2003-08,Property,0.34308942099561845
2003-09,Property,0.3444800678320644
2003-10,Property,0.3452321624415148
2003-11,Property,0.345431383558793
2003-12,Property,0.3471407858563511
2004-01,Property,0.3485537945436563
2004-02,Property,0.3500462160104738
2004-03,Property,0.35265333557156575
2004-04,Property,0.3546532565040271
2004-05,Property,0.3557327298741948
2004-06,Property,0.35586725535795205
2004-07,Property,0.3542640630096937
2004-08,Property,0.35403602009684276
2004-09,Property,0.3544189368706663
2004-10,Property,0.35565973885993085
2004-11,Property,0.35601691807071545
2004-12,Property,0.3554035696652358
2005-01,Property,0.355411594641204
2005-02,Property,0.35587899697454384
2005-03,Property,0.35440912556846715
2005-04,Property,0.3543639137201785
2005-05,Property,0.3544649458891398
2005-06,Property,0.35704799931996656
2005-07,Property,0.3600309056590616
2005-08,Property,0.36195171970861806
2005-09,Property,0.36234535929378153
2005-10,Property,0.3624652942358979
2005-11,Property,0.3641718338956994
2005-12,Property,0.3646687797595686
2006-01,Property,0.3655472619882476
2006-02,Property,0.36520696019125487
2006-03,Property,0.3661193878722959
2006-04,Property,0.36635086507639036
2006-05,Property,0.36757625080789624
2006-06,Property,0.3676965568960937
2006-07,Property,0.36722500131336855
2006-08,Property,0.3690766600628349
2006-09,Property,0.3712518137216285
2006-10,Property,0.37259180257102675
2006-11,Property,0.3733583321505287
2006-12,Property,0.37563629839645607
2007-01,Property,0.37741601780728595
2007-02,Property,0.37988839535705987
2007-03,Property,0.3816510277691244
2007-04,Property,0.3831805096684926
2007-05,Property,0.3850946255644624
2007-06,Property,0.3877782090336236
2007-07,Property,0.38987838633737437
2007-08,Property,0.39064469603508034
2007-09,Property,0.39207436126317663
2007-10,Property,0.39378503924522557
2007-11,Property,0.39531356722039024
2007-12,Property,0.39656381286057196
2008-01,Property,0.39718298016569364
2008-02,Property,0.39775261799227857
2008-03,Property,0.39866359482290403
2008-04,Property,0.39980575515576044
2008-05,Property,0.4008558737996256
2008-06,Property,0.40091858561673444
2008-07,Property,0.4006969380209575
2008-08,Property,0.4013146534061548
2008-09,Property,0.40135802007971266
2008-10,Property,0.400505240822563
2008-11,Property,0.39854150902114127
2008-12,Property,0.39505329998538685
2009-01,Property,0.3933181948750665
2009-02,Property,0.39047147545070693
2009-03,Property,0.3884045132572699
2009-04,Property,0.3866983842286098
2009-05,Property,0.3857364676373177
2009-06,Property,0.38506729084318625
2009-07,Property,0.3856199335748053
2009-08,Property,0.3846096766099605
2009-09,Property,0.38461880894564604
2009-10,Property,0.3852440363981644
2009-11,Property,0.38599805936174425
2009-12,Property,0.38734297296976494
2010-01,Property,0.3885828409135724
2010-02,Property,0.38887724935763646
2010-03,Property,0.3881385376579227
2010-04,Property,0.38815314399450007
2010-05,Property,0.38602208587907816
2010-06,Property,0.38421246684855925
2010-07,Property,0.38243243349036393
2010-08,Property,0.38110970063364
2010-09,Property,0.37998670920317257
2010-10,Property,0.3790951022262514
2010-11,Property,0.37935065507506727
2010-12,Property,0.3804615972124161
2011-01,Property,0.3803872177648788
2011-02,Property,0.3796705380884239
2011-03,Property,0.37961230738398544
2011-04,Property,0.3812046793973721
2011-05,Property,0.3837418072057137
2011-06,Property,0.38587130973349004
2011-07,Property,0.38477361406032706
2011-08,Property,0.38565397131136747
2011-09,Property,0.3879759773154071
2011-10,Property,0.38769728951665705
2011-11,Property,0.38808822952098965
2011-12,Property,0.38938262261229106
2012-01,Property,0.3896467992389244
2012-02,Property,0.39127617323517516
2012-03,Property,0.393794432787559
2012-04,Property,0.3942737932915249
2012-05,Property,0.39458504349826584
2012-06,Property,0.3940533468681905
2012-07,Property,0.39409833260793836
2012-08,Property,0.39379800978547197
2012-09,Property,0.39176539159445223
2012-10,Property,0.39104527778233267
2012-11,Property,0.38998968306769644
2012-12,Property,0.38929031630138355
2013-01,Property,0.3887880013333548
2013-02,Property,0.3878639046067103
2013-03,Property,0.38723327468978774
2013-04,Property,0.38649035507047536
2013-05,Property,0.3867304390738884
2013-06,Property,0.3861314382182184
2013-07,Property,0.38814521137334945
2013-08,Property,0.38818626145089186
2013-09,Property,0.3895546297450867
2013-10,Property,0.3906367990915238
2013-11,Property,0.3901468142175025
2013-12,Property,0.3896870032292543
2014-01,Property,0.39040161137013907
2014-02,Property,0.3913035289737239
2014-03,Property,0.39073016847383035
2014-04,Property,0.3900592225486733
2014-05,Property,0.3884867115016286
2014-06,Property,0.3877451668763724
2014-07,Property,0.38669090666640904
2014-08,Property,0.3873551998617245
2014-09,Property,0.3876352476282938
2014-10,Property,0.38726013296250683
2014-11,Property,0.3871742773950848
2014-12,Property,0.3889354027547264
2015-01,Property,0.3895112917908836
2015-02,Property,0.3884674626436728
2015-03,Property,0.3883757881253248
2015-04,Property,0.39010493012769176
2015-05,Property,0.389591399939484
2015-06,Property,0.391536223674975
2015-07,Property,0.39370429449337785
2015-08,Property,0.3935704847568663
