time,Property,Society,Violent
2002-01,0.11050081293823093,0.023926588739918236,0.04510851586103087
2002-02,0.11042050136481417,0.024023121931906092,0.04487787650997213
2002-03,0.11005111171021606,0.023986837518821597,0.04465739042256918
2002-04,0.11007531043359944,0.02417601946679738,0.04438244852430138
2002-05,0.10991883411134978,0.024324898288452832,0.044548000578697025
2002-06,0.10999342150922889,0.024288362120771134,0.044879538262175084
2002-07,0.11050730607385809,0.02425637929322651,0.04479998517651063
2002-08,0.11119131289959738,0.024347198031599404,0.04495217616846806
2002-09,0.1112065729856376,0.024490583004475416,0.04524741339059098
2002-10,0.1106986698929391,0.024610742460630997,0.045384125332192826
2002-11,0.11043721397786897,0.02440057297183043,0.045072108737635744
2002-12,0.11063334935717178,0.024372461508375486,0.04540550123465315
2003-01,0.11028722400986495,0.024383193110023047,0.04512102014635361
2003-02,0.1100025450087235,0.024212194412224892,0.0453271922336434
2003-03,0.11048511703816295,0.024139870554492363,0.04568248552633823
2003-04,0.11074432076495237,0.02403143994670859,0.045828695898865957
2003-05,0.11094261642808562,0.023929124480505964,0.04581352468484225
2003-06,0.1110304125384467,0.02395365712592897,0.04533108674408864
2003-07,0.11055977467520701,0.02398943634254239,0.04486703137183113
2003-08,0.1099305654961469,0.024056482203257134,0.044397822539265774
2003-09,0.10951438235418846,0.024094197458020647,0.04391859843271354
2003-10,0.1090955929550262,0.02417701784128135,0.04378899156193923
2003-11,0.10877068365195515,0.024353179860155373,0.04409379046698823
2003-12,0.10835387841671104,0.02427346426373711,0.04367775118836607
2004-01,0.10777381412828524,0.024191204063351762,0.04372862490137559
2004-02,0.10798697414841976,0.024362468507018537,0.044157986051618074
2004-03,0.10777504885359608,0.02458691027019807,0.04430520518763621
2004-04,0.10704041390039055,0.024691770991797993,0.04407517260184904
2004-05,0.1067605341284026,0.02477733692708092,0.04404282481542145
2004-06,0.10651234373584918,0.02483034181510628,0.04398451100122311
2004-07,0.1063223684100924,0.02490228148130697,0.04364462109745974
2004-08,0.10583711812853944,0.024893069932517442,0.043426969977660324
2004-09,0.10538568722980426,0.02503198681237558,0.04323362590021556
2004-10,0.1048117690094968,0.02496746250277058,0.04285427386104317
2004-11,0.10458669699806403,0.0249116268994111,0.042488357326774674
2004-12,0.1041370246579471,0.024997292487517055,0.04252255436527808
2005-01,0.10375459934706734,0.024926944971726907,0.04242312262634751
2005-02,0.1031646396839119,0.024833536456103093,0.04213998607863492
2005-03,0.10249902903169535,0.02470351061895101,0.041759514708938975
2005-04,0.10269296432582517,0.024724157384611527,0.042023042181057006
2005-05,0.10236258670295907,0.02476395136073313,0.04203170732994158
2005-06,0.10246127784503481,0.02479411643833804,0.04195495145417095
2005-07,0.10225693043324718,0.02472570144585277,0.04217978545612147
2005-08,0.10219616145420156,0.02473880447192451,0.04217785893605052
2005-09,0.10215540033072491,0.024580044492124607,0.04211838717837408
2005-10,0.10231625644848509,0.024467649351292475,0.042218665069451516
2005-11,0.10245886177457708,0.024332689167979187,0.04215959897541695
2005-12,0.1024868996435021,0.02414336985066715,0.041908670738025185
2006-01,0.10359140324848468,0.024162394874312192,0.04197122396958674
2006-02,0.10408345839840444,0.024022379840587704,0.0417485695387984
2006-03,0.10427236035997316,0.02387224409911296,0.04201232368134812
2006-04,0.1039340817487685,0.023715873776510615,0.04169320768803673
2006-05,0.10423267423407892,0.023590510901785617,0.041695236319873416
2006-06,0.1038779114412568,0.023521463506513837,0.041342373622646936
2006-07,0.10361013255031934,0.023654155431131026,0.04149152283994711
2006-08,0.1031811643084402,0.023724158861691377,0.04100102311638526
2006-09,0.10261528983552562,0.023810403835109666,0.04113870037958465
2006-10,0.10225829559477037,0.023895856410612367,0.04109935935477961
2006-11,0.10180140079392681,0.024002727226510884,0.04135912858141043
2006-12,0.10180954723001408,0.024161482305563427,0.04163107792371716
2007-01,0.10082970785509991,0.024111261889399896,0.04157748923395996
2007-02,0.09950878866117874,0.023987315898586922,0.04150359086708765
2007-03,0.09922399092299787,0.024034135622030536,0.04170808679652167
2007-04,0.09921893203883994,0.023928101296323306,0.041584581156521076
2007-05,0.09928551920492328,0.0238432622661985,0.041463469021377375
2007-06,0.09948291880855845,0.023804081662280877,0.04164099367114744
2007-07,0.09949343099177203,0.023668827766004846,0.04106136413669398
2007-08,0.09952091436668264,0.023502270463989117,0.04139312168479673
2007-09,0.09955431321266131,0.023402524333424133,0.04158463779341969
2007-10,0.09959580787047582,0.02336451629900669,0.04189708262623729
2007-11,0.10013428593732179,0.023158885471608492,0.04176053120154224
2007-12,0.10003906712247447,0.02287925234831586,0.04180939996710755
2008-01,0.10067732202325902,0.02274729211888976,0.041840471379624905
2008-02,0.10156614475883224,0.022766594388948482,0.041942706174894734
2008-03,0.10199330152496289,0.02260369530864964,0.041358629756357436
2008-04,0.10250202832219837,0.022454460998679142,0.04185280554463719
2008-05,0.10277769680699166,0.022352461696969292,0.04179580039572903
2008-06,0.10292086296358822,0.022156512923892938,0.041821126711187984
2008-07,0.10328213137367796,0.022057291581185398,0.04199209534742807
2008-08,0.10387915355198446,0.022092340099108723,0.042164419856328406
2008-09,0.10493265224004453,0.021914872145352,0.0419043592945623
2008-10,0.10581842972046657,0.021791555329547452,0.04162393331373207
2008-11,0.10586107552411869,0.02178445620323998,0.04146980175632883
2008-12,0.10601844955059571,0.021678230541346634,0.04095369669368915
2009-01,0.10546788700760548,0.021556065797814238,0.040691651880140824
2009-02,0.10559981640462728,0.021532409165438252,0.04084222034082796
2009-03,0.10549064015262066,0.021467845187012027,0.04097870311639225
