crime_type,crime_description,crime_count,total_severity,mean_severity,crime_count_pct,severity_pct
Property,Arson,2162,11027.096626031422,5.100414720643581,0.0015678186725608526,0.007050406525787414
Property,Burglary,72862,179224.95688297634,2.4597864028296827,0.05283737470866274,0.11459125175422251
Property,Embezzlement,249,151.39934895833343,0.6080295138888893,0.00018056746043832207,9.680036315052766e-05
Property,Forgery & Counterfeiting,8307,6826.548450993433,0.8217826472846315,0.00602399154161101,0.004364697560903636
Property,Fraud,72007,47472.75459177841,0.6592797171355341,0.05221735391077212,0.030352705714109262
Property,Larceny,315890,287197.93642814446,0.9091707126789214,0.2290741167785605,0.18362605079614713
Property,Motor Vehicle Theft,55306,70154.49913697627,1.2684789920980775,0.04010628099197526,0.044854756905009056
Property,Robbery,55101,301832.0529542414,5.477796282358604,0.039957621034586284,0.19298268148088793
Property,Stolen Property,353,653.5586770732269,1.8514410115388864,0.0002559851949185851,0.00041786650812004395
Property,Vandalism,147343,42122.88503609748,0.285883177593082,0.1068488004954365,0.02693215391279083
Society,Criminal Sexual Abuse,5942,8804.319896800558,1.481709844631531,0.0043089632527088745,0.005629227398713985
Society,Disorderly Conduct,15603,6586.657758348512,0.4221404703165104,0.011314835683611002,0.004211318392999481
Society,Drug Abuse,108045,77735.97659264332,0.719477778635229,0.07835104924923096,0.049702134228461634
Society,Gambling,1682,0.0,0.0,0.0012197368211134848,0.0
Society,Liquor License,1571,0.0,0.0,0.001139242892966281,0.0
Society,Misc Non-Index Offense,131746,46699.2741202989,0.3544644552418965,0.09553831583496859,0.029858164680450897
Society,Offenses Against Family,7718,2426.809027777773,0.31443496084189854,0.005596866103064135,0.001551631475314458
Society,Prostitution ,6156,1412.3682586737061,0.22942954169488403,0.004464149744812493,0.0009030273992758
Society,Weapons Violation,18010,44917.51204721841,2.494031762755048,0.013060321134514781,0.028718957564246618
Violent,Aggravated Assault,24586,56643.53987538284,2.3038940809966175,0.01782904249934372,0.03621624047787325
Violent,Aggravated Battery,36166,100452.12816234997,2.7775293967358836,0.02622651716551147,0.06422618427530298
Violent,Criminal Sexual Assault,7732,85903.44772709606,11.110119985397835,0.005607018490398017,0.054924178955048024
Violent,Homicide 1st & 2nd Degree,2778,73176.10202329341,26.341289425231608,0.0020145237152516416,0.04678668236376832
Violent,Involuntary Manslaughter,14,52.34227053140096,3.738733609385783,1.0152387333881562e-05,3.346613331182286e-05
Violent,Simple Assault,66024,0.0,0.0,0.047878658666585444,0.0
Violent,Simple Battery,215633,112562.82767525995,0.5220111377908759,0.15637069556906308,0.07196941513410435
