time,chicago_crime,crime_bot_avg,crime_bot_pct,crime_bot_pctile_lvl,crime_top_avg,crime_top_pct,crime_top_pctile_lvl,gini_coefficient
2002-01,0.17954900320444647,0.0768439170403926,0.1069957444331966,0.09524961445023894,0.3239973443069389,0.4511266263311051,0.24720600223959713,0.30769238906692076
2002-02,0.17933448714681907,0.07685303034988901,0.10713643478815416,0.09501929764184107,0.3234676566221329,0.4509278468526158,0.24968379749552844,0.30760702742917606
2002-03,0.17870832972460185,0.07641163247218485,0.10689433529754722,0.09517882664729893,0.32204749026395857,0.45052109596716794,0.25126211424119654,0.3074690945061041
2002-04,0.17864673142313828,0.0768397025198971,0.10753023845969012,0.09738066948017923,0.32155887898870333,0.4499926704887016,0.25030686899352333,0.30651427209613846
2002-05,0.1788043958537803,0.07687995481228743,0.10749170125990226,0.09789385447065198,0.32142929077525473,0.4494146931349885,0.2527850995346219,0.3061809197031989
2002-06,0.17917880007439277,0.0768673938578349,0.10724956555396137,0.09809338958829701,0.3215670312997989,0.44866779882202634,0.25676495755522194,0.3063379533693065
2002-07,0.17958110405984248,0.0768855886904654,0.10703463080509368,0.10030210972672847,0.32326557889954954,0.4500272740162943,0.25532491756293857,0.30765775261876477
2002-08,0.18050819398398005,0.07713139463823399,0.10682533703300934,0.10255206034120085,0.3243520024783759,0.44922060782897466,0.25743671906836557,0.3073643159139829
2002-09,0.18096202363609754,0.07712233718856674,0.10654491981098557,0.10295251944579385,0.32521456036469926,0.449285648212417,0.25800012978171855,0.3073205257751138
2002-10,0.1807111731742937,0.07716144679712361,0.1067469230620045,0.10291470205150612,0.3248410307322375,0.4493925652551273,0.2559412560680486,0.3072083698647664
2002-11,0.1799274332496551,0.07697726803077994,0.10695599142456991,0.10228154071696048,0.32382843902977837,0.4499431148173719,0.2559337001530909,0.3074223301045259
2002-12,0.18042699670693235,0.07764123801645328,0.10757985145449989,0.1027551223855476,0.32425299952392095,0.4492855911837368,0.2588604315018658,0.30671652602232147
2003-01,0.17980568203723474,0.07755265529891031,0.10782842680529203,0.10054977621578338,0.32322799224659576,0.44941292814603695,0.2574951741992243,0.30664183268947753
2003-02,0.17955642326612098,0.07730154667229101,0.10762848978914308,0.10090899175984373,0.323176721827824,0.449965414699817,0.2577029821075573,0.3074402790842334
2003-03,0.1803219399919173,0.07732948648480954,0.10721031296618111,0.10300101285455356,0.3248028527610162,0.4503096694384153,0.2575384402110585,0.3083471337667635
2003-04,0.18061914585460437,0.07720070422897003,0.10685564902836409,0.10035372059299585,0.32566426095308315,0.45076099132818104,0.2588712927099183,0.3092831219324241
2003-05,0.1806992981683136,0.07711630542856639,0.1066914844305813,0.100713083509228,0.3261455809151607,0.4512269613401738,0.25918033337267343,0.3096295220365284
2003-06,0.18032902784239796,0.07713194622832649,0.10693223818593622,0.09894330811949537,0.32657860803834815,0.4527537966929094,0.2584015311138548,0.31027332864076973
2003-07,0.1794300610141882,0.07653635977924064,0.10663815102474472,0.09807617679626465,0.3253170281625633,0.45326438937235725,0.2575294386355633,0.31047349754821135
2003-08,0.17840336604683849,0.07615734484819899,0.10672072301063595,0.09550181527082337,0.32506673096139177,0.4555221380689195,0.2586073457471835,0.31192708089803806
2003-09,0.17754560284245327,0.0759212326890417,0.10690384818543086,0.09670900915937414,0.3248787047667568,0.4574581115577401,0.2591302095339672,0.31344947747870994
2003-10,0.17707973789857173,0.07551646276873153,0.10661364149407382,0.09712205652891272,0.325027045829053,0.4588710285069755,0.2587795434554702,0.31493282146770013
2003-11,0.17723576421206472,0.07501748646616975,0.10581595480979,0.09523030756864492,0.32568345908846663,0.4593929737267678,0.25985996881875906,0.3163725455111469
2003-12,0.17632285945205012,0.07415648667727776,0.10514304116285633,0.09329916109206803,0.325002564502919,0.4608060541794091,0.2566181515161948,0.3179397245296787
2004-01,0.17571254434343447,0.07359530233959938,0.10470980119062467,0.09280221489937647,0.32517393470987577,0.4626504270439499,0.25368155061659037,0.31923767613749815
2004-02,0.17652616505655905,0.0738602961795085,0.10460247657315225,0.09332834316284402,0.3275094303864273,0.4638256179777842,0.2547542343594665,0.31994316393159833
2004-03,0.176686342797063,0.07349672084173015,0.10399321147043383,0.09283024805686564,0.3296350717916107,0.4664127778260434,0.2558558776710856,0.32268568861826896
2004-04,0.1758265791611732,0.07278248195834229,0.1034861769841201,0.09180799812881009,0.3291930149812204,0.46806492020677704,0.25215378676431366,0.32468800947124404
2004-05,0.17560002000037125,0.07258329845145894,0.10333611928305231,0.09213439814270806,0.3294209851564106,0.4689933764752905,0.2513354738725856,0.3253909664671099
2004-06,0.17534841144336868,0.07258597633478521,0.10348821488786042,0.09148009154505074,0.32964445204521564,0.46998494216709674,0.2527736519541074,0.3252531755024705
2004-07,0.1748906958856881,0.07261447314544153,0.10379979446262788,0.09204962716828251,0.32876517697333674,0.46995807196659556,0.2504258609748488,0.3249703827762948
2004-08,0.1741737205941571,0.07201858513615068,0.10337177286342969,0.0917931905741555,0.32743510236137596,0.469983504463819,0.25198010839859103,0.3254778290226608
2004-09,0.17366759781579882,0.07184905232154114,0.10342898333537742,0.09112167842762388,0.3265178899207194,0.4700328299972252,0.25538728798046234,0.3255658840238146
2004-10,0.17265013935595025,0.07169195682625118,0.10381103237693445,0.09142548114454833,0.325028674901954,0.4706464126157569,0.25520764223962633,0.32605328888970647
2004-11,0.17200332605826749,0.07238754480325722,0.10521242010566612,0.09292186632602992,0.3238704081196014,0.47073276944930664,0.25532288050734736,0.32501346492444044
