time,chicago_crime,crime_bot_avg,crime_bot_pct,crime_top_avg,crime_top_pct
2002-01,0.034033378245466754,0.009773775281354494,0.05743640969674446,0.08236534952428841,0.4840268804949416
2002-02,0.03443923888176237,0.009776655426872137,0.05677625722471735,0.08341003165299003,0.4843895182431608
2002-03,0.034578619464236245,0.009872042167188117,0.05709911107005594,0.08369210356366497,0.484068507421041
2002-04,0.03513838845209857,0.01000502434130038,0.056946404101254955,0.08526152456031962,0.4852898969828967
2002-05,0.03561832467657191,0.01017487642183243,0.05713281865008657,0.08662070105291354,0.48638279222542236
2002-06,0.035763348822380484,0.01018446988394627,0.05695478873931903,0.08696390010414391,0.48632973682667235
2002-07,0.03603066088935476,0.010239987778806475,0.05684041050621902,0.08791756133956408,0.48801525794681866
2002-08,0.03621242780511929,0.01020968168581744,0.056387722694329345,0.0882941469455516,0.48764555318254366
2002-09,0.03643072445141249,0.010271476565731864,0.05638908761987915,0.08900021933349707,0.48859977765304285
2002-10,0.0368047957478714,0.010187123215271484,0.05535758592471285,0.09005768967431727,0.48938018996899746
2002-11,0.03661259154567609,0.010075007857874307,0.05503575372590175,0.08979486115848662,0.49051354939714076
2002-12,0.03664897252433255,0.010118154774299244,0.055216580860931064,0.08942055995378399,0.48798399406376003
2003-01,0.036607742301336385,0.01002205429036022,0.054753741478312135,0.08930909569870141,0.4879246306071223
2003-02,0.03626545841911149,0.009988818684963657,0.055087232426653476,0.08815646507119815,0.48617317367062807
2003-03,0.035970495741806136,0.009740417059487359,0.05415781383389007,0.08715707506737103,0.4846031352638497
2003-04,0.0356839031686411,0.009591769121698476,0.05375964101442632,0.08632471515342753,0.4838300045006816
2003-05,0.03539128461092822,0.00941259710701116,0.053191610366721265,0.0855222715071628,0.4832956613321405
2003-06,0.03532119644239099,0.009240689653961924,0.05232376354540269,0.08522555267569978,0.48257455159936613
2003-07,0.03523037618735683,0.00903709258075631,0.051302844640072065,0.0849639875528479,0.48233369465602827
2003-08,0.03550067150502649,0.009025488587849274,0.05084686122949178,0.08675312039224617,0.4887407291998007
2003-09,0.03600735412741939,0.008926815772270637,0.04958329201685452,0.08916326000120683,0.4952502740728152
2003-10,0.036889285951059635,0.008899982168241694,0.04825239599405173,0.0936539057337193,0.5077566741626189
2003-11,0.037261967506484237,0.008952233824322128,0.0480502476030783,0.09515761377753508,0.5107492714171681
2003-12,0.037164632771311476,0.008962472957833085,0.04823119341973692,0.09499569632396523,0.511215579115289
2004-01,0.037197843465527354,0.008846791254036899,0.04756615131323705,0.09548235251607452,0.5133757423575462
2004-02,0.03766023939118114,0.008853153582746107,0.04701591772047653,0.09721640711885794,0.5162814081400822
2004-03,0.038128007415763,0.009039037511827533,0.04741416152836031,0.09849374300808632,0.5166477331693275
2004-04,0.03851299090468582,0.008991950972232883,0.04669567728191604,0.1004131213026966,0.5214506531118541
2004-05,0.038730551915347654,0.008972362548766953,0.04633222148952387,0.1012519437232506,0.5228530899562408
2004-06,0.03886601363184928,0.008954813235765594,0.046080430684702134,0.10192500028543824,0.5244942342217183
2004-07,0.039011305727121255,0.009011127989866276,0.046197520549032034,0.10289786743859103,0.5275284460271468
2004-08,0.03908169801409323,0.00891226088287125,0.04560836061758322,0.10301239190761365,0.5271643615406189
2004-09,0.03920410602847716,0.008938946539736366,0.045602093480939354,0.10375984057521369,0.5293314965521438
2004-10,0.038614612875668815,0.008983749895864002,0.04653031185261314,0.10044472916308324,0.5202420621773152
2004-11,0.03897153215114931,0.009080512689743537,0.046600747717719604,0.1008753455414919,0.5176873475246058
2004-12,0.039285904415989,0.009164119818943965,0.04665347510856466,0.10186723234014955,0.518594309355854
2005-01,0.039476540583485084,0.009319512902168292,0.047215448792729764,0.10250329042018377,0.519312426596295
2005-02,0.03949750622590067,0.009290177533511667,0.04704184350463925,0.102300024749772,0.5180075124980336
2005-03,0.039544097379343675,0.009229770078036463,0.04668089899484085,0.1026276140666707,0.5190540225620598
2005-04,0.039655819462869966,0.009366938124971766,0.04724117797511207,0.10212804797158613,0.5150721853936691
2005-05,0.039887834025774505,0.009518947878109111,0.047728577450248166,0.10284766732809585,0.5156843926979755
2005-06,0.04008063766987343,0.009711047776164675,0.04845755128024809,0.10346042427302697,0.5162613685200568
2005-07,0.04018473489798799,0.009805060974831994,0.04879992862823601,0.1037428540581607,0.5163296675790936
2005-08,0.04014162196546246,0.00991944853218814,0.04942226071842715,0.10307062375498499,0.5135349231461855
2005-09,0.03978769022522281,0.010007584167149135,0.050304926526270055,0.10141278864800542,0.5097696703374668
2005-10,0.03945862641147438,0.009976485373751058,0.05056681532558338,0.10038089597726287,0.508790625048583
2005-11,0.03887217187809251,0.009894137469057266,0.05090601832121133,0.0991246481363087,0.5100031377056816
2005-12,0.03865986563264509,0.009826001610238541,0.05083308723112212,0.09901454988062415,0.5122343198058841
2006-01,0.03848505093754671,0.009802951747720019,0.0509442056534013,0.09836874230575375,0.511204947944
2006-02,0.038074913649826014,0.009745122162462165,0.05118920164645835,0.09757078387770877,0.5125200533614586
2006-03,0.03777754167399445,0.009657235497715534,0.05112686040321912,0.09694733033437847,0.5132537800950436
2006-04,0.037500490154293444,0.00949662661992179,0.05064801329715163,0.09688112319086445,0.5166925701091003
2006-05,0.03740027120134463,0.00931366665035865,0.04980534285550209,0.09656633843379482,0.5163937871676344
2006-06,0.03740743582371121,0.009238654522861255,0.04939474903545893,0.09683315184978264,0.5177214086852948
2006-07,0.03748607609808787,0.009287981664538033,0.049554301923917854,0.09698768997646434,0.5174598147999363
